   Z    A                         m(KeV)      Element   BETA_GS   BETA_2+ E_2+(MeV)
   6   10                        15698.8          C    -0.350     -0.83     3.354
   6   12                            0.0          C    -0.300    -0.582     4.439
   6   14                       3019.893          C    -0.300    -0.360     7.012
   6   16                          13694          C    -0.350    -0.690     1.766
   6   18                          24920          C    -0.300    -0.640     1.620
   6   20                          37560          C    -0.200    -0.405     1.620
   8   14                        8007.46          O     0.100     0.410     6.590
   8   16                    -4737.00137          O     0.000     0.364     6.917
   8   18                      -782.8156          O     0.100     0.355     1.982
   8   20                         3796.2          O     0.100     0.201     1.674
   8   22                           9280          O     0.050     0.208     3.190
   8   24                          18500          O     0.050     0.150     4.720
  10   16                          23986         Ne     0.350     0.710     1.690
  10   18                         5317.6         Ne     0.100     0.694     1.887
  10   20                     -7041.9306         Ne     0.300     0.727     1.634
  10   22                      -8024.714         Ne     0.350     0.562     1.275
  10   24                        -5951.6         Ne     0.250     0.450     1.982
  10   26                            479         Ne     0.250     0.498     2.018
  10   28                          11290         Ne     0.150     0.500     1.310
  10   30                          23040         Ne     0.050     0.453     0.791
  12   20                          17559         Mg     0.250     0.440     1.598
  12   22                         -399.9         Mg     0.300     0.440     1.246
  12   24                     -13933.569         Mg     0.300     0.605     1.369
  12   26                     -16214.546         Mg     0.300     0.482     1.809
  12   28                       -15018.7         Mg     0.240     0.491     1.473
  12   30                          -8884         Mg     0.120     0.431     1.482
  12   32                           -829         Mg     0.050     0.473     0.886
  12   34                           8323         Mg     0.220     0.532     0.670
  12   36                          20380         Mg     0.250     0.500     0.662
  14   24                          10744         Si     0.245     0.245     1.879
  14   26                       -7140.98         Si     0.300     0.446     1.796
  14   28                    -21492.7946         Si     0.300     0.407     1.779
  14   30                     -24432.961         Si     0.200     0.315     2.235
  14   32                      -24077.69         Si     0.100     0.217     1.942
  14   34                         -19957         Si     0.000     0.179     3.328
  14   36                         -12390         Si     0.130     0.259     1.399
  14   38                          -4170         Si     0.249     0.249     1.084
  14   40                           5430         Si     0.300     0.370     0.986
  16   28                           4070          S     0.265     0.265     1.512
  16   30                       -14059.0          S     0.338     0.338     2.211
  16   32                    -26015.5335          S     0.312     0.312     2.230
  16   34                      -29931.69          S     0.110     0.252     2.128
  16   36                      -30664.12          S     0.000     0.168     3.291
  16   38                         -26861          S     0.123     0.246     1.292
  16   40                         -22838          S     0.284     0.284     0.900
  16   42                       -17637.7          S     0.300     0.300     0.890
  16   44                          -9204          S     0.258     0.258     1.329
  18   32                        -2200.4         Ar     0.261     0.261     1.867
  18   34                      -18378.29         Ar     0.238     0.238     2.091
  18   36                     -30231.540         Ar     0.256     0.256     1.970
  18   38                      -34714.82         Ar     0.163     0.163     2.167
  18   40                    -35039.8946         Ar     0.251     0.251     1.461
  18   42                         -34423         Ar     0.275     0.275     1.208
  18   44                       -32673.3         Ar     0.240     0.240     1.144
  18   46                         -29730         Ar     0.175     0.175     1.550
  18   48                        -22440#         Ar     0.228     0.228     1.038
  20   38                      -22058.50         Ca     0.000     0.125     2.206
  20   40                     -34846.386         Ca     0.000     0.123     3.904
  20   42                      -38547.24         Ca     0.000     0.247     1.525
  20   44                       -41468.7         Ca     0.000     0.253     1.157
  20   46                       -43138.4         Ca     0.000     0.153     1.346
  20   48                      -44224.76         Ca     0.000     0.100     3.832
  20   50                       -39589.2         Ca     0.000     0.065     1.027
  20   52                         -34260         Ca     0.000     0.180     2.563
  22   42                      -25104.66         Ti     0.000     0.319     1.555
