  42Ca+Ar38                                                                     

   A1  =   42.000000000000000       A2 =    38.000000000000000     

   R0  =    1.1499999999999999       RO00 =   0.17000000000000001     

   R1  =    3.9974254467042085       R2 =    3.8662668278928320     

   A01  =   0.55001109999999998       A02 =   0.55010999999999999     

  R(fermi)   V_C(MeV)   V_N(Mev)      V(MeV)
   7.36     70.3962    -28.0677     42.3286
   7.56     68.5376    -33.5095     35.0281
   7.76     66.7724    -35.9444     30.8280
   7.96     65.0955    -36.0526     29.0428
   8.16     63.5007    -34.4698     29.0310
   8.36     61.9822    -31.7598     30.2224
   8.56     60.5347    -28.3978     32.1369
   8.76     59.1532    -24.7611     34.3921
   8.96     57.8333    -21.1307     36.7026
   9.16     56.5711    -17.6997     38.8714
   9.36     55.3628    -14.5865     40.7763
   9.56     54.2050    -11.8504     42.3547
   9.76     53.0947     -9.5071     43.5876
   9.96     52.0289     -7.5430     44.4860
  10.16     51.0051     -5.9262     45.0789
  10.36     50.0208     -4.6156     45.4052
  10.56     49.0738     -3.5672     45.5065
  10.76     48.1619     -2.7381     45.4238
  10.96     47.2834     -2.0889     45.1944
  11.16     46.4363     -1.5850     44.8513
  11.36     45.6190     -1.1967     44.4223
  11.56     44.8300     -0.8996     43.9304
  11.76     44.0678     -0.6736     43.3942
  11.96     43.3311     -0.5025     42.8286
  12.16     42.6187     -0.3737     42.2449
