  Z     A  Element   m      d      beta       
  1     1     H     nan    0.55     0.1    
  1     2     H     nan    0.55     0.1    
  1     3     H     nan    0.55     0.1    
  1     4     H     nan    0.55     0.1    
  1     5     H     nan    0.55     0.1    
  1     6     H     nan    0.55     0.1    
  2     3    He     nan    0.55     0.1    
  2     4    He     nan    0.55     0.1    
  2     5    He     nan    0.55     0.1    
  2     6    He     nan    0.55     0.1    
  2     7    He     nan    0.55     0.1    
  2     8    He     nan    0.55     0.1    
  2     9    He     nan    0.55     0.1    
  2    10    He     nan    0.55     0.1    
  3     4    Li     nan    0.55     0.1    
  3     5    Li     nan    0.55     0.1    
  3     6    Li     nan    0.55     0.1    
  3     7    Li     nan    0.55     0.1    
  3     8    Li     nan    0.55     0.1    
  3     9    Li     nan    0.55     0.1    
  3    10    Li     nan    0.55     0.1    
  3    11    Li     nan    0.55     0.1    
  3    12    Li     nan    0.55     0.1    
  4     5    Be     nan    0.55     0.1    
  4     6    Be     nan    0.55     0.1    
  4     7    Be     nan    0.55     0.1    
  4     8    Be     nan    0.55     0.1    
  4     9    Be     nan    0.55     0.1    
  4    10    Be     nan    0.55     0.1    
  4    11    Be     nan    0.55     0.1    
  4    12    Be     nan    0.55     0.1    
  4    13    Be     nan    0.55     0.1    
  4    14    Be     nan    0.55     0.1    
  5     7     B     nan    0.55     0.1    
  5     8     B     nan    0.55     0.1    
  5     9     B     nan    0.55     0.1    
  5    10     B     nan    0.55     0.1    
  5    11     B     nan    0.55     0.1    
  5    12     B     nan    0.55     0.1    
  5    13     B     nan    0.55     0.1    
  5    14     B     nan    0.55     0.1    
  5    15     B     nan    0.55     0.1    
  5    16     B     nan    0.55     0.1    
  5    17     B     nan    0.55     0.1    
  5    18     B     nan    0.55     0.1    
  5    19     B     nan    0.55     0.1    
  6     8     C     nan    0.55     0.1    
  6     9     C     nan    0.55     0.1    
  6    10     C     nan    0.55     0.1    
  6    11     C     nan    0.55     0.1    
  6    12     C     nan    0.55     0.1    
  6    13     C     nan    0.55     0.1    
  6    14     C     nan    0.55     0.1    
  6    15     C     nan    0.55     0.1    
  6    16     C     nan    0.55     0.1    
  6    17     C     nan    0.55     0.1    
  6    18     C     nan    0.55     0.1    
  6    19     C     nan    0.55     0.1    
  6    20     C     nan    0.55     0.1    
  6    21     C     nan    0.55     0.1    
  6    22     C     nan    0.55     0.1    
  7    10     N     nan    0.55     0.1    
  7    11     N     nan    0.55     0.1    
  7    12     N     nan    0.55     0.1    
  7    13     N     nan    0.55     0.1    
  7    14     N     nan    0.55     0.1    
  7    15     N     nan    0.55     0.1    
  7    16     N     nan    0.55     0.1    
  7    17     N     nan    0.55     0.1    
  7    18     N     nan    0.55     0.1    
  7    19     N     nan    0.55     0.1    
  7    20     N     nan    0.55     0.1    
  7    21     N     nan    0.55     0.1    
  7    22     N     nan    0.55     0.1    
  7    23     N     nan    0.55     0.1    
  7    24     N     nan    0.55     0.1    
  8    12     O     nan    0.55     0.1    
  8    13     O     nan    0.55     0.1    
  8    14     O     nan    0.55     0.1    
  8    15     O     nan    0.55     0.1    
  8    16     O     nan    0.55     0.1    
  8    17     O     nan    0.55     0.1    
  8    18     O     nan    0.55     0.1    
  8    19     O     nan    0.55     0.1    
  8    20     O     nan    0.55     0.1    
  8    21     O     nan    0.55     0.1    
  8    22     O     nan    0.55     0.1    
  8    23     O     nan    0.55     0.1    
  8    24     O     nan    0.55     0.1    
  8    25     O     nan    0.55     0.1    
  8    26     O     nan    0.55     0.1    
  9    14     F     nan    0.55     0.1    
  9    15     F     nan    0.55     0.1    
  9    16     F     nan    0.55     0.1    
  9    17     F     nan    0.55     0.1    
  9    18     F     nan    0.55     0.1    
  9    19     F     nan    0.55     0.1    
  9    20     F     nan    0.55     0.1    
  9    21     F     nan    0.55     0.1    
  9    22     F     nan    0.55     0.1    
  9    23     F     nan    0.55     0.1    
  9    24     F     nan    0.55     0.1    
  9    25     F     nan    0.55     0.1    
  9    26     F     nan    0.55     0.1    
  9    27     F     nan    0.55     0.1    
  9    28     F     nan    0.55     0.1    
  9    29     F     nan    0.55     0.1    
 10    16    Ne     nan    0.55     0.1    
 10    17    Ne     nan    0.55     0.1    
 10    18    Ne     nan    0.55     0.1    
 10    19    Ne     nan    0.55     0.1    
 10    20    Ne     nan    0.55     0.1    
 10    21    Ne     nan    0.55     0.1    
 10    22    Ne     nan    0.55     0.1    
 10    23    Ne     nan    0.55     0.1    
 10    24    Ne     nan    0.55     0.1    
 10    25    Ne     nan    0.55     0.1    
 10    26    Ne     nan    0.55     0.1    
 10    27    Ne     nan    0.55     0.1    
 10    28    Ne     nan    0.55     0.1    
 10    29    Ne     nan    0.55     0.1    
 10    30    Ne     nan    0.55     0.1    
 10    31    Ne     nan    0.55     0.1    
 10    32    Ne     nan    0.55     0.1    
 11    18    Na     nan    0.55     0.1    
 11    19    Na     nan    0.55     0.1    
 11    20    Na     nan    0.55     0.1    
 11    21    Na     nan    0.55     0.1    
 11    22    Na     nan    0.55     0.1    
 11    23    Na     nan    0.55     0.1    
 11    24    Na     nan    0.55     0.1    
 11    25    Na     nan    0.55     0.1    
 11    26    Na     nan    0.55     0.1    
 11    27    Na     nan    0.55     0.1    
 11    28    Na     nan    0.55     0.1    
 11    29    Na     nan    0.55     0.1    
 11    30    Na     nan    0.55     0.1    
 11    31    Na     nan    0.55     0.1    
 11    32    Na     nan    0.55     0.1    
 11    33    Na     nan    0.55     0.1    
 11    34    Na     nan    0.55     0.1    
 11    35    Na     nan    0.55     0.1    
 12    20    Mg     nan    0.55     0.1    
 12    21    Mg     nan    0.55     0.1    
 12    22    Mg     nan    0.55     0.1    
 12    23    Mg     nan    0.55     0.1    
 12    24    Mg     nan    0.55     0.1    
 12    25    Mg     nan    0.55     0.1    
 12    26    Mg     nan    0.55     0.1    
 12    27    Mg     nan    0.55     0.1    
 12    28    Mg     nan    0.55     0.1    
 12    29    Mg     nan    0.55     0.1    
 12    30    Mg     nan    0.55     0.1    
 12    31    Mg     nan    0.55     0.1    
 12    32    Mg     nan    0.55     0.1    
 12    33    Mg     nan    0.55     0.1    
 12    34    Mg     nan    0.55     0.1    
 12    35    Mg     nan    0.55     0.1    
 12    36    Mg     nan    0.55     0.1    
 12    37    Mg     nan    0.55     0.1    
 13    21    Al     nan    0.55     0.1    
 13    22    Al     nan    0.55     0.1    
 13    23    Al     nan    0.55     0.1    
 13    24    Al     nan    0.55     0.1    
 13    25    Al     nan    0.55     0.1    
 13    26    Al     nan    0.55     0.1    
 13    27    Al     nan    0.55     0.1    
 13    28    Al     nan    0.55     0.1    
 13    29    Al     nan    0.55     0.1    
 13    30    Al     nan    0.55     0.1    
 13    31    Al     nan    0.55     0.1    
 13    32    Al     nan    0.55     0.1    
 13    33    Al     nan    0.55     0.1    
 13    34    Al     nan    0.55     0.1    
 13    35    Al     nan    0.55     0.1    
 13    36    Al     nan    0.55     0.1    
 13    37    Al     nan    0.55     0.1    
 13    38    Al     nan    0.55     0.1    
 13    39    Al     nan    0.55     0.1    
 14    22    Si     nan    0.55     0.1    
 14    23    Si     nan    0.55     0.1    
 14    24    Si     nan    0.55     0.1    
 14    25    Si     nan    0.55     0.1    
 14    26    Si     nan    0.55     0.1    
 14    27    Si     nan    0.55     0.1    
 14    28    Si     nan    0.55     0.1    
 14    29    Si     nan    0.55     0.1    
 14    30    Si     nan    0.55     0.1    
 14    31    Si     nan    0.55     0.1    
 14    32    Si     nan    0.55     0.1    
 14    33    Si     nan    0.55     0.1    
 14    34    Si     nan    0.55     0.1    
 14    35    Si     nan    0.55     0.1    
 14    36    Si     nan    0.55     0.1    
 14    37    Si     nan    0.55     0.1    
 14    38    Si     nan    0.55     0.1    
 14    39    Si     nan    0.55     0.1    
 14    40    Si     nan    0.55     0.1    
 14    41    Si     nan    0.55     0.1    
 14    42    Si     nan    0.55     0.1    
 15    24     P     nan    0.55     0.1    
 15    25     P     nan    0.55     0.1    
 15    26     P     nan    0.55     0.1    
 15    27     P     nan    0.55     0.1    
